小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
优胜花园,优胜南路3号院,2000,4,5,101,南北,103
优胜花园,优胜南路3号院,2000,4,5,102,南北,112
优胜花园,优胜南路3号院,2000,4,5,201,南北,103
优胜花园,优胜南路3号院,2000,4,5,202,南北,112
优胜花园,优胜南路3号院,2000,4,5,301,南北,103
优胜花园,优胜南路3号院,2000,4,5,302,南北,112
优胜花园,优胜南路3号院,2000,4,5,401,南北,103
优胜花园,优胜南路3号院,2000,4,5,402,南北,112
优胜花园,优胜南路3号院,2000,4,5,501,南北,103
优胜花园,优胜南路3号院,2000,4,5,502,南北,112
优胜花园,优胜南路3号院,2000,4,5,601,南北,103
优胜花园,优胜南路3号院,2000,4,5,602,南北,112
优胜花园,优胜南路3号院,2000,4,5,701,南北,103
优胜花园,优胜南路3号院,2000,4,5,702,南北,112
优胜花园,优胜南路3号院,2000,4,1,101,南北,103
优胜花园,优胜南路3号院,2000,4,1,102,南北,112
优胜花园,优胜南路3号院,2000,4,1,201,南北,103
优胜花园,优胜南路3号院,2000,4,1,202,南北,112
优胜花园,优胜南路3号院,2000,4,1,301,南北,103
优胜花园,优胜南路3号院,2000,4,1,302,南北,112
优胜花园,优胜南路3号院,2000,4,1,401,南北,103
优胜花园,优胜南路3号院,2000,4,1,402,南北,112
优胜花园,优胜南路3号院,2000,4,1,501,南北,103
优胜花园,优胜南路3号院,2000,4,1,502,南北,112
优胜花园,优胜南路3号院,2000,4,1,601,南北,103
优胜花园,优胜南路3号院,2000,4,1,602,南北,112
优胜花园,优胜南路3号院,2000,4,1,701,南北,103
优胜花园,优胜南路3号院,2000,4,1,702,南北,112
优胜花园,优胜南路3号院,2000,4,2,101,南北,93
小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
优胜花园,优胜南路3号院,2000,4,1,101,南北,103
优胜花园,优胜南路3号院,2000,4,1,102,南北,112
优胜花园,优胜南路3号院,2000,4,1,103,东西,100
优胜花园,优胜南路3号院,2000,4,1,201,南北,103
优胜花园,优胜南路3号院,2000,4,1,202,南北,112
优胜花园,优胜南路3号院,2000,4,1,203,东西,100
优胜花园,优胜南路3号院,2000,4,1,301,南北,103
优胜花园,优胜南路3号院,2000,4,1,302,南北,112
优胜花园,优胜南路3号院,2000,4,1,303,东西,100
优胜花园,优胜南路3号院,2000,4,1,401,南北,103
优胜花园,优胜南路3号院,2000,4,1,402,南北,112
优胜花园,优胜南路3号院,2000,4,1,403,东西,100
优胜花园,优胜南路3号院,2000,4,1,501,南北,103
优胜花园,优胜南路3号院,2000,4,1,502,南北,112
优胜花园,优胜南路3号院,2000,4,1,503,东西,100
优胜花园,优胜南路3号院,2000,4,1,601,南北,103
优胜花园,优胜南路3号院,2000,4,1,602,南北,112
优胜花园,优胜南路3号院,2000,4,1,603,东西,100
优胜花园,优胜南路3号院,2000,4,1,701,南北,103
优胜花园,优胜南路3号院,2000,4,1,702,南北,112
优胜花园,优胜南路3号院,2000,4,1,703,东西,100
优胜花园,优胜南路3号院,2000,4,5,101,南北,103
优胜花园,优胜南路3号院,2000,4,5,102,南北,112
优胜花园,优胜南路3号院,2000,4,5,201,南北,103
优胜花园,优胜南路3号院,2000,4,5,202,南北,112
优胜花园,优胜南路3号院,2000,4,5,301,南北,103
优胜花园,优胜南路3号院,2000,4,5,302,南北,112
优胜花园,优胜南路3号院,2000,4,5,401,南北,103
优胜花园,优胜南路3号院,2000,4,5,402,南北,112
优胜花园,优胜南路3号院,2000,4,5,501,南北,103
优胜花园,优胜南路3号院,2000,4,5,502,南北,112
优胜花园,优胜南路3号院,2000,4,5,601,南北,103
优胜花园,优胜南路3号院,2000,4,5,602,南北,112
优胜花园,优胜南路3号院,2000,4,5,701,南北,103
优胜花园,优胜南路3号院,2000,4,5,702,南北,112
小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
花园路1号,花园路1号,2018,1,1,101,南北,100
花园路1号,花园路1号,2018,1,1,102,南北,160
花园路1号,花园路1号,2018,1,1,103,南北,120
花园路1号,花园路1号,2018,1,1,201,南北,100
花园路1号,花园路1号,2018,1,1,202,南北,160
花园路1号,花园路1号,2018,1,1,203,南北,120
花园路1号,花园路1号,2018,1,1,301,南北,100
花园路1号,花园路1号,2018,1,1,302,南北,160
花园路1号,花园路1号,2018,1,1,303,南北,120
花园路1号,花园路1号,2018,1,1,401,南北,100
花园路1号,花园路1号,2018,1,1,402,南北,160
花园路1号,花园路1号,2018,1,1,403,南北,120
花园路1号,花园路1号,2018,1,1,501,南北,100
花园路1号,花园路1号,2018,1,1,502,南北,160
花园路1号,花园路1号,2018,1,1,503,南北,120
花园路1号,花园路1号,2018,1,1,601,南北,100
花园路1号,花园路1号,2018,1,1,602,南北,160
花园路1号,花园路1号,2018,1,1,603,南北,120
花园路1号,花园路1号,2018,1,1,701,南北,100
花园路1号,花园路1号,2018,1,1,702,南北,160
花园路1号,花园路1号,2018,1,1,703,南北,120

